wine_id,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,ph,sulphates,alcohol
1,12.7,0.6,0.49,2.8,0.075,5,19,0.9994,3.14,0.57,11.4
2,9.8,0.66,0.39,3.2,0.083,21,59,0.9989,3.37,0.71,11.5
3,6.5,0.88,0.03,5.6,0.079,23,47,0.99572,3.58,0.5,11.2
4,8.6,0.52,0.38,1.5,0.096,5,18,0.99666,3.2,0.52,9.4
5,7.5,0.58,0.14,2.2,0.077,27,60,0.9963,3.28,0.59,9.8
6,7.6,0.5,0.29,2.3,0.086,5,14,0.99502,3.32,0.62,11.5
7,10.1,0.935,0.22,3.4,0.105,11,86,1.001,3.43,0.64,11.3
8,6.4,0.4,0.23,1.6,0.066,5,12,0.9958,3.34,0.56,9.2
9,6.1,0.58,0.23,2.5,0.044,16,70,0.99352,3.46,0.65,12.5
10,6.7,0.46,0.24,1.7,0.077,18,34,0.9948,3.39,0.6,10.6
11,8.5,0.49,0.11,2.3,0.084,9,67,0.9968,3.17,0.53,9.4
12,6.7,0.75,0.01,2.4,0.078,17,32,0.9955,3.55,0.61,12.8
13,7.3,0.59,0.26,7.2,0.07,35,121,0.9981,3.37,0.49,9.4
14,8.2,0.56,0.23,3.4,0.078,14,104,0.9976,3.28,0.62,9.4
15,7,0.56,0.17,1.7,0.065,15,24,0.99514,3.44,0.68,10.55
16,12.5,0.46,0.49,4.5,0.07,26,49,0.9981,3.05,0.57,9.6
17,8.3,0.31,0.39,2.4,0.078,17,43,0.99444,3.31,0.77,12.5
18,9.7,0.66,0.34,2.6,0.094,12,88,0.99796,3.26,0.66,10.1
19,8.2,0.915,0.27,2.1,0.088,7,23,0.9962,3.26,0.47,10
20,9.7,0.69,0.32,2.5,0.088,22,91,0.9979,3.29,0.62,10.1
21,7.4,0.61,0.01,2,0.074,13,38,0.99748,3.48,0.65,9.8
22,5.6,0.66,0,2.2,0.087,3,11,0.99378,3.71,0.63,12.8
23,8.3,0.54,0.24,3.4,0.076,16,112,0.9976,3.27,0.61,9.4
24,6.2,0.52,0.08,4.4,0.071,11,32,0.99646,3.56,0.63,11.6
25,6,0.33,0.32,12.9,0.054,6,113,0.99572,3.3,0.56,11.5
26,6.8,0.56,0.22,1.8,0.074,15,24,0.99438,3.4,0.82,11.2
27,7.7,0.41,0.76,1.8,0.611,8,45,0.9968,3.06,1.26,9.4
28,6,0.5,0,1.4,0.057,15,26,0.99448,3.36,0.45,9.5
29,10.6,0.28,0.39,15.5,0.069,6,23,1.0026,3.12,0.66,9.2
30,5,0.74,0,1.2,0.041,16,46,0.99258,4.01,0.59,12.5
31,7.2,0.66,0.33,2.5,0.068,34,102,0.99414,3.27,0.78,12.8
32,9.8,0.39,0.43,1.65,0.068,5,11,0.99478,3.19,0.46,11.4
33,7.2,0.65,0.02,2.3,0.094,5,31,0.9993,3.67,0.8,9.7
34,8.7,0.31,0.46,1.4,0.059,11,25,0.9966,3.36,0.76,10.1
35,8.6,0.47,0.3,3,0.076,30,135,0.9976,3.3,0.53,9.4
36,7.5,0.63,0.27,2,0.083,17,91,0.99616,3.26,0.58,9.8
37,7.6,0.665,0.1,1.5,0.066,27,55,0.99655,3.39,0.51,9.3
38,9.5,0.86,0.26,1.9,0.079,13,28,0.99712,3.25,0.62,10
39,8.1,0.67,0.55,1.8,0.117,32,141,0.9968,3.17,0.62,9.4
40,7.5,0.58,0.56,3.1,0.153,5,14,0.99476,3.21,1.03,11.6
41,7.3,0.58,0.3,2.4,0.074,15,55,0.9968,3.46,0.59,10.2
42,7.2,0.39,0.32,1.8,0.065,34,60,0.99714,3.46,0.78,9.9
43,7.7,0.43,0.25,2.6,0.073,29,63,0.99615,3.37,0.58,10.5
44,10.5,0.26,0.47,1.9,0.078,6,24,0.9976,3.18,1.04,10.9
45,7.2,0.45,0.15,2,0.078,10,28,0.99609,3.29,0.51,9.9
46,9.1,0.5,0.3,1.9,0.065,8,17,0.99774,3.32,0.71,10.5
47,8.1,0.72,0.09,2.8,0.084,18,49,0.9994,3.43,0.72,11.1
48,8.3,0.3,0.49,3.8,0.09,11,24,0.99498,3.27,0.64,12.1
49,6.9,0.41,0.31,2,0.079,21,51,0.99668,3.47,0.55,9.5
50,8.4,0.36,0.32,2.2,0.081,32,79,0.9964,3.3,0.72,11
51,6.8,0.69,0,5.6,0.124,21,58,0.9997,3.46,0.72,10.2
52,7,0.975,0.04,2,0.087,12,67,0.99565,3.35,0.6,9.4
53,9.6,0.38,0.31,2.5,0.096,16,49,0.9982,3.19,0.7,10
54,6.1,0.38,0.15,1.8,0.072,6,19,0.9955,3.42,0.57,9.4
55,8.6,0.685,0.1,1.6,0.092,3,12,0.99745,3.31,0.65,9.55
56,7.9,0.31,0.32,1.9,0.066,14,36,0.99364,3.41,0.56,12.6
57,7.4,0.55,0.22,2.2,0.106,12,72,0.9959,3.05,0.63,9.2
58,7.8,0.64,0,1.9,0.072,27,55,0.9962,3.31,0.63,11
59,7.9,0.72,0.01,1.9,0.076,7,32,0.99668,3.39,0.54,9.6
60,8,0.58,0.16,2,0.12,3,7,0.99454,3.22,0.58,11.2
61,7,0.65,0.02,2.1,0.066,8,25,0.9972,3.47,0.67,9.5
