wine_id,wine_type,quality
1,red,5
2,red,7
3,red,4
4,red,5
5,red,5
6,red,6
7,red,4
8,red,5
9,red,6
10,red,6
11,red,5
12,red,6
13,red,5
14,red,5
15,red,7
16,red,4
17,red,7
18,red,5
19,red,4
20,red,5
21,red,5
22,red,7
23,red,5
24,red,6
25,red,4
26,red,6
27,red,5
28,red,5
29,red,5
30,red,6
31,red,6
32,red,5
33,red,5
34,red,6
35,red,5
36,red,6
37,red,5
38,red,5
39,red,5
40,red,6
41,red,5
42,red,5
43,red,6
44,red,7
45,red,6
46,red,6
47,red,6
48,red,7
49,red,6
50,red,6
51,red,5
52,red,4
53,red,7
54,red,5
55,red,6
56,red,6
57,red,5
58,red,5
59,red,5
60,red,6
61,red,6
62,red,6
63,red,5
64,red,6
65,red,5
66,red,5
67,red,6
68,red,5
69,red,6
70,red,7
71,red,5
72,red,5
73,red,5
74,red,6
75,red,5
76,red,5
77,red,6
78,red,6
79,red,7
80,red,5
81,red,5
82,red,5
83,red,7
84,red,6
85,red,5
86,red,7
87,red,5
88,red,6
89,red,6
90,red,6
91,red,6
92,red,5
93,red,6
94,red,5
95,red,6
96,red,7
97,red,5
98,red,5
99,red,6
100,red,5
101,red,6
102,red,5
103,red,5
104,red,6
105,red,6
106,red,5
107,red,6
108,red,6
109,red,6
110,red,7
111,red,6
112,red,6
113,red,5
114,red,6
115,red,6
116,red,6
117,red,5
118,red,5
119,red,4
120,red,5
121,red,6
122,red,5
123,red,6
124,red,6
125,red,4
126,red,5
127,red,5
128,red,5
129,red,7
130,red,6
131,red,6
132,red,5
133,red,6
134,red,5
135,red,5
136,red,5
137,red,6
138,red,6
139,red,5
140,red,6
141,red,6
142,red,6
143,red,7
144,red,5
145,red,5
146,red,5
147,red,7
148,red,5
149,red,5
150,red,5
151,red,8
152,red,6
153,red,7
154,red,5
155,red,6
156,red,5
157,red,6
158,red,6
159,red,5
160,red,6
161,red,5
162,red,5
163,red,5
164,red,4
165,red,5
166,red,5
167,red,5
168,red,5
169,red,5
170,red,6
171,red,6
172,red,7
173,red,7
174,red,5
175,red,6
176,red,5
177,red,8
178,red,5
179,red,5
180,red,7
181,red,5
182,red,6
183,red,7
184,red,5
185,red,6
186,red,6
187,red,7
188,red,5
189,red,6
190,red,7
191,red,7
192,red,7
193,red,6
194,red,5
195,red,5
196,red,5
197,red,5
198,red,5
199,red,5
200,red,6
201,red,6
202,red,6
203,red,7
204,red,4
205,red,6
206,red,7
207,red,6
208,red,6
209,red,5
210,red,6
211,red,7
212,red,6
213,red,6
214,red,5
215,red,5
216,red,5
217,red,4
218,red,5
219,red,6
220,red,5
221,red,5
222,red,5
223,red,5
224,red,5
225,red,4
226,red,7
227,red,4
228,red,7
229,red,8
230,red,5
231,red,5
232,red,6
233,red,5
234,red,5
235,red,6
236,red,6
237,red,6
238,red,7
239,red,5
240,red,5
241,red,6
242,red,5
243,red,5
244,red,5
245,red,5
246,red,5
247,red,5
248,red,6
249,red,5
250,red,6
251,red,5
252,red,6
253,red,6
254,red,6
255,red,5
256,red,5
257,red,6
258,red,5
259,red,6
260,red,5
261,red,6
262,red,6
263,red,5
264,red,5
265,red,6
266,red,6
267,red,5
268,red,6
269,red,5
270,red,5
271,red,6
272,red,5
273,red,5
274,red,5
275,red,8
276,red,6
277,red,5
278,red,5
279,red,5
280,red,6
281,red,5
282,red,6
283,red,4
284,red,5
285,red,7
286,red,5
287,red,7
288,red,5
289,red,7
290,red,5
291,red,6
292,red,6
293,red,5
294,red,6
295,red,7
296,red,5
297,red,6
298,red,5
299,red,6
300,red,5
302,red,4
303,red,5
304,red,5
305,red,5
306,red,5
307,red,7
308,red,6
309,red,6
310,red,5
311,red,5
312,red,6
313,red,6
314,red,7
315,red,5
316,red,5
317,red,5
318,red,5
319,red,7
320,red,5
321,red,6
322,red,5
323,red,6
324,red,6
325,red,7
326,red,6
327,red,6
328,red,6
329,red,6
330,red,6
331,red,6
332,red,5
333,red,5
334,red,5
335,red,6
336,red,5
337,red,6
338,red,5
339,red,7
340,red,7
341,red,6
342,red,8
343,red,5
344,red,6
345,red,5
346,red,7
347,red,5
348,red,6
349,red,6
350,red,6
351,red,6
352,red,6
353,red,5
354,red,6
355,red,5
356,red,6
357,red,6
358,red,6
359,red,6
360,red,3
361,red,6
362,red,5
363,red,5
364,red,6
365,red,5
366,red,5
367,red,6
368,red,7
369,red,5
370,red,6
371,red,6
372,red,6
373,red,5
374,red,5
375,red,5
376,red,5
377,red,6
378,red,7
379,red,6
380,red,5
381,red,6
