wine_id,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,ph,sulphates,alcohol,quality
1,7.5,0.25,0.32,8.2,0.024,53,209,0.99563,3.12,0.46,10.8,6
2,7.1,0.44,0.27,8.4,0.057,60,160,0.99257,3.16,0.36,11.8,6
3,7.4,0.34,0.3,14.9,0.037,70,169,0.99698,3.25,0.37,10.4,6
4,6.3,0.23,0.21,5.1,0.035,29,142,0.9942,3.36,0.33,10.1,7
5,5.7,0.245,0.33,1.1,0.049,28,150,0.9927,3.13,0.42,9.3,5
6,6,0.29,0.2,12.6,0.045,45,187,0.9972,3.33,0.42,9.5,5
7,6.8,0.32,0.34,6,0.05,5,129,0.9953,3.19,0.4,9.1,5
8,7.1,0.37,0.3,6.2,0.04,49,139,0.99021,3.17,0.27,13.6,6
9,7.3,0.22,0.37,14.3,0.063,48,191,0.9978,2.89,0.38,9,6
10,6.2,0.36,0.22,5.25,0.038,44,145,0.99184,3.22,0.4,11.2,6
11,8.4,0.22,0.3,1.3,0.038,45,122,0.99178,3.13,0.54,10.8,7
12,8.8,0.23,0.35,10.7,0.04,26,183,0.9984,2.93,0.49,9.1,6
13,6.6,0.26,0.29,1.4,0.039,13,67,0.9915,3.05,0.49,10.9,6
14,6.1,0.15,0.4,1.2,0.03,19,84,0.98926,3.19,0.96,13,6
15,6.4,0.26,0.43,12.6,0.033,64,230,0.9974,3.08,0.38,8.9,5
16,6,0.26,0.34,1.3,0.046,6,29,0.9924,3.29,0.63,10.4,5
17,9,0.55,0.3,8.1,0.026,14,71,0.993,2.94,0.36,11.8,5
18,5.5,0.315,0.38,2.6,0.033,10,69,0.9909,3.12,0.59,10.8,6
19,6.4,0.25,0.57,1,0.062,21,122,0.99238,3,0.4,9.5,5
20,6.6,0.3,0.3,4.8,0.17,60,166,0.9946,NA,0.47,9.4,5
21,6.4,0.2,0.15,6.6,0.046,26,113,0.99408,2.99,0.58,9.9,6
22,6.4,0.23,0.39,1.8,0.032,23,118,0.9912,3.32,0.5,11.8,6
23,6.7,0.47,0.34,8.9,0.043,31,172,0.9964,3.22,0.6,9.2,5
24,6.5,0.19,0.26,5.2,0.04,31,140,0.995,3.26,0.68,9.5,6
25,7.5,0.17,0.44,11.3,0.046,65,146,0.997,3.17,0.45,10,6
26,6.1,0.24,0.26,1.7,0.033,61,134,0.9903,3.19,0.81,11.9,7
27,6.3,0.2,0.26,1.6,0.027,36,141,0.99268,3.53,0.56,10.8,6
28,6.6,0.3,0.45,8,0.038,54,200,0.9956,3.18,0.48,9.5,5
29,7.5,0.42,0.34,4.3,0.04,34,108,0.99155,3.14,0.45,12.8,8
30,7.7,0.28,0.33,6.7,0.037,32,155,0.9951,3.39,0.62,10.7,7
31,7.3,0.26,0.49,5,0.028,32,107,0.9936,3.24,0.54,10.8,6
32,6.1,0.46,0.32,6.2,0.053,10,94,0.99537,3.35,0.47,10.1,5
33,6.3,0.26,0.42,7.1,0.045,62,209,0.99544,3.2,0.53,9.5,6
34,7.1,0.17,0.4,14.55,0.047,47,156,0.99945,3.34,0.78,9.1,6
35,5.8,0.19,0.25,10.8,0.042,33,124,0.99646,3.22,0.41,9.2,6
36,6.4,0.24,0.31,2.8,0.038,41,114,0.99155,3.37,0.66,11.7,7
37,6.5,0.18,0.33,8,0.051,16,131,0.9965,3.28,0.44,8.7,7
38,5.8,0.18,0.37,1.1,0.036,31,96,0.98942,3.16,0.48,12,6
39,6.2,0.24,0.29,13.3,0.039,49,130,0.9952,3.33,0.46,11,8
40,5.9,0.28,0.34,3.6,0.04,50,194,0.9912,3.31,0.52,11.6,6
41,6.2,0.345,0.27,10.1,0.056,38,187,0.99486,3.31,0.56,10.6,5
42,6.9,0.19,0.33,1.6,0.039,27,98,0.9898,3.09,0.46,12.3,7
43,6.4,0.23,0.27,2.1,0.042,35,100,0.99094,3.03,0.63,10.9,6
44,6.7,0.19,0.39,1,0.032,14,71,0.98912,3.31,0.38,13,7
45,6.1,0.16,0.27,12.6,0.064,63,162,0.9994,3.66,0.43,8.9,5
46,6.1,0.26,0.25,2.9,0.047,289,440,0.99314,3.44,0.64,10.5,3
47,6.8,0.18,0.37,1.6,0.055,47,154,0.9934,3.08,0.45,9.1,5
48,7.4,0.25,0.36,2.05,0.05,31,100,0.992,3.19,0.44,10.8,6
49,5.5,0.31,0.29,3,0.027,16,102,0.99067,3.23,0.56,11.2,6
50,6,0.21,0.24,12.1,0.05,55,164,0.997,3.34,0.39,9.4,5
51,7.9,0.28,0.32,3.6,0.038,9,76,0.992,3.05,0.31,11.7,4
52,5.7,0.21,0.24,2.3,0.047,60,189,0.995,3.65,0.72,10.1,6
53,7,0.24,0.3,4.2,0.04,41,213,0.9927,3.28,0.49,11.8,6
54,6.6,0.22,0.37,1.6,0.04,31,101,0.99009,3.15,0.66,12,5
55,7.1,0.27,0.24,12.6,0.044,48,118,0.99726,3.04,0.56,10,7
56,6.2,0.235,0.34,1.9,0.036,4,117,0.99032,3.4,0.44,12.2,5
57,6.6,0.17,0.38,1.5,0.032,28,112,0.9914,3.25,0.55,11.4,7
58,7.2,0.17,0.34,6.4,0.042,16,111,0.99278,2.99,0.4,10.8,6
59,5.1,0.21,0.28,1.4,0.047,48,148,0.99168,3.5,0.49,10.4,5
60,7.4,0.3,0.3,5.2,0.053,45,163,0.9941,3.12,0.45,10.3,6
61,7.1,0.2,0.34,16,0.05,51,166,0.9985,3.21,0.6,9.2,6
62,5.8,0.29,0.05,0.8,0.038,11,30,0.9924,3.36,0.35,9.2,5
63,6.6,0.22,0.23,17.3,0.047,37,118,0.99906,3.08,0.46,8.8,6
64,6.7,0.17,0.27,1.4,0.032,39,149,0.99254,3.4,0.52,10.5,5
65,6.3,0.34,0.33,4.6,0.034,19,80,0.9917,3.38,0.58,12,7
66,6,0.34,0.66,15.9,0.046,26,164,0.9979,3.14,0.5,8.8,6
67,8.1,0.24,0.26,11,0.043,41,211,0.99676,3.11,0.49,10,6
68,6.7,0.27,0.26,2.3,0.043,61,181,0.99394,3.45,0.63,10.6,6
69,7.2,0.39,0.63,11,0.044,55,156,0.9974,3.09,0.44,8.7,6
70,8.3,0.27,0.34,10.2,0.048,50,118,0.99716,3.18,0.51,10.3,5
71,6.2,0.76,0.01,3.2,0.041,18,120,0.99026,3.2,0.94,13.7,7
72,9.2,0.15,0.68,1.6,0.046,22,130,0.9948,3.02,0.45,10.4,6
